date,merchant,amount,description,currency
2026-04-01,City Metro,12.50,Commute recharge,USD
2026-04-02,Fresh Basket,46.20,Weekly groceries,USD
2026-04-03,Coffee House,8.80,Latte and snack,USD
2026-04-04,Netflix,15.99,Monthly streaming subscription,USD
2026-04-05,Shell Fuel,39.45,Fuel top-up,USD
2026-04-06,Green Pharmacy,21.30,Supplements and medicine,USD
2026-04-07,Fresh Basket,51.10,Vegetables and pantry items,USD
2026-04-08,Bistro Lane,18.60,Lunch with friends,USD
2026-04-09,Power Utility,78.00,Electricity bill,USD
2026-04-10,City Metro,12.50,Commute recharge,USD
2026-04-11,Book Haven,24.90,Reading and stationery,USD
2026-04-12,Fresh Basket,44.30,Groceries and fruit,USD
2026-04-13,Spotify,9.99,Music subscription,USD
2026-04-14,Coffee House,7.40,Cappuccino,USD
2026-04-15,Quick Cab,16.75,Airport ride,USD
2026-04-16,Healthy Bites,14.80,Takeout dinner,USD
2026-04-17,City Pharmacy,26.40,Personal care items,USD
2026-04-18,Fresh Basket,49.55,Household supplies,USD
2026-04-19,CinemaX,19.00,Weekend movie,USD
2026-04-20,Shell Fuel,36.40,Fuel top-up,USD
2026-04-21,Fresh Basket,42.75,Weekly groceries,USD
2026-04-22,Coffee House,8.90,Morning coffee,USD
2026-04-23,Cloud Kitchen,22.10,Dinner order,USD
2026-04-24,Prime Video,14.99,Streaming subscription,USD
2026-04-25,Home Rent,850.00,Monthly rent,USD
2026-04-26,City Metro,12.50,Commute recharge,USD
2026-04-27,Fresh Basket,47.80,Groceries and dairy,USD
2026-04-28,Travel Air,129.00,Short trip booking,USD
2026-04-29,Power Utility,80.20,Electricity bill adjustment,USD
2026-04-30,Coffee House,9.20,Coffee and pastry,USD
